implementation,threads,N,seed,repeat,window_width,window_height,framebuffer_width,framebuffer_height,monitor_refresh_hz,vsync,warmup_requested_s,warmup_actual_s,measurement_requested_s,measurement_actual_s,frames,average_fps,average_frame_ms,minimum_interval_fps,p95_frame_ms,intervals_below_60,interval_count,intervals_below_60_percent,generation_ms
sequential,1,1000,42,1,800,600,800,600,144,on,1,1.0037944999999999,3,3.0001042999999998,720,239.991656290083,4.166811527777778,239.84057143106327,4.7233999999999998,0,5,0,0.1255
openmp,4,1000,42,1,800,600,800,600,144,on,1,1.0015141000000001,3,3.0033609999999999,721,240.06438120492342,4.1655492371705964,239.78040910134499,4.7332000000000001,0,5,0,0.1303
sequential,1,1000,42,2,800,600,800,600,144,on,1,1.0000283999999999,3,3.0002480999999999,720,239.98015364129387,4.1670112499999998,239.64268285726962,4.7812999999999999,0,5,0,0.12470000000000001
openmp,4,1000,42,2,800,600,800,600,144,on,1,1.0010371,3,3.0000135000000001,720,239.99892000485997,4.1666854166666667,239.92168956052743,4.7602000000000002,0,5,0,0.1227
sequential,1,1000,42,3,800,600,800,600,144,on,1,1.0027079000000001,3,3.0041310999999999,721,240.00284142060246,4.1666173370319006,239.92451974608787,4.7366000000000001,0,5,0,0.12609999999999999
openmp,4,1000,42,3,800,600,800,600,144,on,1,1.0039659000000001,3,3.0035422999999999,721,240.04989042438325,4.1658006934812759,239.72833984528734,4.7512999999999996,0,5,0,0.12379999999999999
sequential,1,1000,42,4,800,600,800,600,144,on,1,1.0037689999999999,3,3.0044236,721,239.97947559724935,4.1670230235783636,239.82773629572782,4.8109999999999999,0,5,0,0.127
openmp,4,1000,42,4,800,600,800,600,144,on,1,1.0012258000000001,3,3.0046118000000002,721,239.9644439923986,4.167284049930652,239.7962247354364,4.7511000000000001,0,5,0,0.1244
sequential,1,1000,42,5,800,600,800,600,144,on,1,1.0003065,3,3.0000680000000002,720,239.99456012330387,4.1667611111111116,239.83496183254525,4.7598000000000003,0,5,0,0.12559999999999999
openmp,4,1000,42,5,800,600,800,600,144,on,1,1.003933,3,3.0035211999999998,721,240.05157679592875,4.1657714285714285,239.8368158233628,4.7363999999999997,0,5,0,0.13780000000000001
sequential,1,1000,42,6,800,600,800,600,144,on,1,1.0026234999999999,3,3.0001536,720,239.98771262911339,4.1668799999999999,239.70449230189024,4.7872000000000003,0,5,0,0.12590000000000001
openmp,4,1000,42,6,800,600,800,600,144,on,1,1.0030246,3,3.0005077999999998,720,239.95938287512536,4.1673719444444446,239.79152524794944,4.7887000000000004,0,5,0,0.1221
sequential,1,1000,42,7,800,600,800,600,144,on,1,1.0017364,3,3.0002458999999999,720,239.98032961231613,4.1670081944444446,239.79318333377921,4.7297000000000002,0,5,0,0.12590000000000001
openmp,4,1000,42,7,800,600,800,600,144,on,1,1.0014061999999999,3,3.0037018,721,240.03714350072966,4.1660219140083212,239.81247853331482,4.7309999999999999,0,5,0,0.129
sequential,1,1000,42,8,800,600,800,600,144,on,1,1.0023449,3,3.0034689000000001,721,240.05575686167418,4.165698890429959,239.95486468826192,4.7483000000000004,0,5,0,0.12470000000000001
openmp,4,1000,42,8,800,600,800,600,144,on,1,1.0012383,3,3.0045210999999998,721,239.97168800046038,4.1671582524271846,239.87708777320711,4.7187999999999999,0,5,0,0.12529999999999999
sequential,1,1000,42,9,800,600,800,600,144,on,1,1.0036891999999999,3,3.0000203999999999,720,239.99836801109754,4.1666949999999998,239.64254917365258,4.7236000000000002,0,5,0,0.1237
openmp,4,1000,42,9,800,600,800,600,144,on,1,1.0022385,3,3.0035554000000002,721,240.04884344733577,4.165818862690708,239.85131597100533,4.7336999999999998,0,5,0,0.12690000000000001
sequential,1,1000,42,10,800,600,800,600,144,on,1,1.000963,3,3.0037889999999998,721,240.03017522202794,4.1661428571428569,239.86649031149264,4.7508999999999997,0,5,0,0.1255
openmp,4,1000,42,10,800,600,800,600,144,on,1,1.0023416000000001,3,3.0005454999999999,720,239.95636793376406,4.1674243055555555,239.76909245615099,4.7434000000000003,0,5,0,0.126
sequential,1,10000,42,1,800,600,800,600,144,on,1,1.0224086999999999,3,3.0046971999999998,105,34.945285002428868,28.616163809523812,18.004872838785086,58.497300000000003,5,5,100,1.0931999999999999
openmp,4,10000,42,1,800,600,800,600,144,on,1,1.0053087000000001,3,3.0040789000000001,471,156.78682740323498,6.3780868365180465,154.83809493560324,8.1020000000000003,0,5,0,1.0297000000000001
sequential,1,10000,42,2,800,600,800,600,144,on,1,1.0020241000000001,3,3.0036754000000001,118,39.28520372074825,25.454876271186443,18.458061530686436,57.413499999999999,5,5,100,1.0708
openmp,4,10000,42,2,800,600,800,600,144,on,1,1.0053472000000001,3,3.0072122000000001,448,148.97518705198124,6.7125272321428566,146.89295592695211,8.4898000000000007,0,5,0,1.0139
sequential,1,10000,42,3,800,600,800,600,144,on,1,1.0453724,3,3.0073208,142,47.21810855695874,21.178315492957747,18.404465365004718,53.953400000000002,4,5,80,1.0629
openmp,4,10000,42,3,800,600,800,600,144,on,1,1.0028075000000001,3,3.0011676999999999,460,153.27367411024716,6.5242776086956518,149.90379174645713,8.4276,0,5,0,1.0435000000000001
sequential,1,10000,42,4,800,600,800,600,144,on,1,1.0514112,3,3.0156108000000001,118,39.129717933096671,25.55602372881356,19.034309533276829,54.879300000000001,4,5,80,1.0314000000000001
openmp,4,10000,42,4,800,600,800,600,144,on,1,1.0006447999999999,3,3.0027254000000001,463,154.19325390193853,6.4853680345572364,150.84447101424249,8.3755000000000006,0,5,0,1.0227999999999999
sequential,1,10000,42,5,800,600,800,600,144,on,1,1.0244968000000001,3,3.0088054999999998,111,36.89171666297473,27.106355855855856,17.846024146741431,59.168700000000001,5,5,100,1.0404
openmp,4,10000,42,5,800,600,800,600,144,on,1,1.0024580999999999,3,3.0041891999999999,469,156.11533388110178,6.4055206823027717,154.7821738561002,8.2007999999999992,0,5,0,1.0392999999999999
sequential,1,10000,42,6,800,600,800,600,144,on,1,1.0429477,3,3.0052080000000001,114,37.934146321985033,26.361473684210527,19.252795168934615,56.323099999999997,5,5,100,1.0563
openmp,4,10000,42,6,800,600,800,600,144,on,1,1.0003135000000001,3,3.0008165999999998,463,154.29133523188321,6.4812453563714891,153.98851245697071,8.3689999999999998,0,5,0,1.0338000000000001
sequential,1,10000,42,7,800,600,800,600,144,on,1,1.0495789,3,3.0093923999999999,116,38.545986890908608,25.943037931034482,18.363287527948923,55.994100000000003,4,5,80,1.0620000000000001
openmp,4,10000,42,7,800,600,800,600,144,on,1,1.0032004999999999,3,3.0066972999999999,478,158.97842459897777,6.2901617154811715,157.90326569612739,7.524,0,5,0,1.0541
sequential,1,10000,42,8,800,600,800,600,144,on,1,1.0521388,3,3.0068765000000002,123,40.90623608917759,24.446150406504067,18.203301387146176,55.625599999999999,4,5,80,1.0470999999999999
openmp,4,10000,42,8,800,600,800,600,144,on,1,1.0047664999999999,3,3.0037834999999999,468,155.80350581192019,6.4183408119658116,155.52257679375853,8.3196999999999992,0,5,0,1.0414000000000001
sequential,1,10000,42,9,800,600,800,600,144,on,1,1.0498765999999999,3,3.0057673,134,44.580962737867296,22.431099253731343,22.510929056056717,53.190300000000001,4,5,80,1.0724
openmp,4,10000,42,9,800,600,800,600,144,on,1,1.0016239,3,3.0043096,461,153.44623603372969,6.5169405639913229,150.716229302051,8.3938000000000006,0,5,0,1.0237000000000001
sequential,1,10000,42,10,800,600,800,600,144,on,1,1.0274160000000001,3,3.0090773,126,41.873301161123379,23.881565873015873,19.677547957136003,56.207099999999997,4,5,80,1.0423
openmp,4,10000,42,10,800,600,800,600,144,on,1,1.0047499,3,3.0040034000000002,454,151.13165317988654,6.6167475770925108,149.86998778559601,8.3759999999999994,0,5,0,1.0333000000000001
sequential,1,25000,42,1,800,600,800,600,144,on,1,1.0033291,3,3.0529204000000001,21,6.8786595287581029,145.37716190476189,5.815456941775258,177.6233,5,5,100,2.5287000000000002
openmp,4,25000,42,1,800,600,800,600,144,on,1,1.0218414,3,3.0180441999999998,86,28.495275185167934,35.093537209302326,18.824379830806475,53.841299999999997,5,5,100,2.6227
sequential,1,25000,42,2,800,600,800,600,144,on,1,1.0773778000000001,3,3.0160722,21,6.9626980415124011,143.62248571428572,5.9770850513302101,181.21960000000001,5,5,100,2.5043000000000002
openmp,4,25000,42,2,800,600,800,600,144,on,1,1.0505515999999999,3,3.0020220000000002,84,27.981140711160677,35.738357142857147,19.637599876832972,53.898699999999998,5,5,100,2.5125000000000002
sequential,1,25000,42,3,800,600,800,600,144,on,1,1.0069437000000001,3,3.0529106000000001,21,6.8786816096088756,145.37669523809524,6.2051898035700628,175.17169999999999,5,5,100,2.5394000000000001
openmp,4,25000,42,3,800,600,800,600,144,on,1,1.0237516,3,3.0108266000000001,83,27.567180388269453,36.275019277108434,19.230565830553715,55.660200000000003,5,5,100,2.5413999999999999
sequential,1,25000,42,4,800,600,800,600,144,on,1,1.1057528000000001,3,3.1076812999999999,22,7.0792329959960822,141.25824090909089,6.1396720125814159,182.30240000000001,5,5,100,2.5225
openmp,4,25000,42,4,800,600,800,600,144,on,1,1.0221918000000001,3,3.0051587,91,30.281262683398385,33.023721978021975,17.830637473026208,57.682499999999997,5,5,100,2.5384000000000002
sequential,1,25000,42,5,800,600,800,600,144,on,1,1.0033228000000001,3,3.0745480999999999,21,6.8302720650231494,146.40705238095239,5.5575717190736418,183.25210000000001,5,5,100,2.5145
openmp,4,25000,42,5,800,600,800,600,144,on,1,1.0257791999999999,3,3.0062408,88,29.272438854532211,34.161827272727272,19.358895334970839,57.236899999999999,5,5,100,2.5541999999999998
sequential,1,25000,42,6,800,600,800,600,144,on,1,1.0863860999999999,3,3.0303124000000001,21,6.9299785725062533,144.30059047619048,5.7518546375957715,182.0204,5,5,100,2.5337000000000001
openmp,4,25000,42,6,800,600,800,600,144,on,1,1.0557809,3,3.0217307999999998,91,30.115190936267389,33.205832967032968,18.740222289020704,55.121299999999998,5,5,100,2.6303000000000001
